mac,begin_time,end_time,hbase_time_consume,hbase_trace_length,postgre_time_consume,postgre_trace_length
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,3,120,1,121
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,120,2,121
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,3,120,2,121
14F42AFBAFF8,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,4,120,1,121
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,2,0,1,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,2,0,0,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,2,0,0,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,2,0,1,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,2,0,0,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,2,0,1,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,1,0,1,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,2,0,0,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,0,0,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,2,0,0,0
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,3,3,0,3
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,2,3,1,3
F8A45F102F85,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,2,3,0,3
